,volume,volumeNotional,close,tradesDone,open,date,low,high,up_moves,down_moves,avg_d,avg_u,rs,rsi,sell,buy,returns
13,684.2369389300002,32176701.37738177,47025.671294068445,33812.0,47081.44544965075,2022-01-01T13,46942.172385670085,47202.31485628867,0.0,53.842557375297474,59.30381929446854,85.64837956768004,1.4442304152857275,59.08732688431499,0,0,
14,805.3729623199997,37794822.0451932,46928.34725456819,35837.0,47026.165854104,2022-01-01T14,46854.81133013758,47105.902058250824,0.0,97.32403950025764,66.2555364016298,85.64837956768004,1.2926977007399671,56.38325978705127,0,0,-0.002071738405957624
15,2311.8922160899992,109176801.61168218,47224.00155675426,54250.0,46922.20604631539,2022-01-01T15,46874.3498573917,47489.591826649696,295.6543021860707,0.0,66.2555364016298,97.92663075238514,1.4780143074953096,59.645107900496136,0,0,0.0062803589651643866
16,1875.75251695,88691432.06911206,47283.120383773006,51145.0,47224.97362096274,2022-01-01T16,47194.34253902333,47536.603183979,59.11882701874856,0.0,66.2555364016298,100.1142817620265,1.5110326955192204,60.17574754066575,0,0,0.001251097981107644
17,1853.2145977899984,88510428.86483674,47760.48546692191,62077.0,47281.426520590496,2022-01-01T17,47247.08427141865,47934.785477923135,477.3650831489067,0.0,66.2555364016298,134.14290516168901,2.0246293735898164,66.93809797882315,0,0,0.01004526486566672
18,1446.8233867599995,68821313.7046371,47567.18362063167,50495.0,47760.843291460165,2022-01-01T18,47430.06674443821,47846.47550440647,0.0,193.30184629024006,72.82309496365997,134.14290516168901,1.8420379582689905,64.81398156240414,0,0,-0.0040555300068049055
19,1369.25347566,64815795.94768442,47336.59406374139,44674.0,47567.39274677298,2022-01-01T19,47292.274695056316,47619.015902729465,0.0,230.58955689028517,89.29377759868034,99.51840805072165,1.1145055201717933,52.70761932469417,0,0,-0.004859448512648601
20,1262.6312275300004,59855977.5328611,47405.74779696624,42513.0,47336.742090822576,2022-01-01T2,47256.986233547614,47566.17362006227,69.15373322485539,0.0,73.88422918169037,104.4579604239256,1.4138059174583886,58.57164850051624,0,0,0.0014598276577886043
21,1348.9947841499995,63841962.02180937,47325.5810711204,43540.0,47402.946142559216,2022-01-01T21,47278.00385961199,47563.28509995368,0.0,80.16672584584012,79.61042388496467,88.5649658712495,1.1124795164917591,52.662262890921575,0,0,-0.0016925075567024175
22,867.7348022299997,41169875.42486188,47445.22787268533,41670.0,47325.32672180535,2022-01-01T22,47235.31937172748,47498.117408582315,119.64680156492977,0.0,74.14491530887555,97.1111659830302,1.3097481543876748,56.70523653843531,0,0,0.0025249729629954615
23,1241.5499357399995,59256876.74763195,47728.146119481804,49831.0,47447.40297617021,2022-01-01T23,47285.42657812206,47819.46684187508,282.91824679647107,0.0,74.14491530887555,116.01246530880442,1.5646718972638316,61.00865763504218,0,0,0.005945340976992232
24,1667.6441133499998,79431471.37830044,47630.94879922358,49337.0,47727.36181599333,2022-01-02,47388.7126553789,47758.07322874691,0.0,97.19732025822304,61.702771513695815,116.01246530880442,1.8801824044978885,65.27997676680712,0,0,-0.002038554455689027
25,763.9458344899997,36195954.48626531,47380.26290886089,41834.0,47631.42993960638,2022-01-02T01,47321.17723374735,47646.59190446591,0.0,250.6858903626926,71.65056689448829,116.01246530880442,1.6191423227626782,61.81956240754426,0,0,-0.0052769871594027145
26,786.8927876999999,37278786.4146964,47374.67034570001,37600.0,47381.25491845081,2022-01-02T02,47282.90150198351,47452.73272559125,0.0,5.5925631608770345,72.0500356916938,93.13264242428444,1.292610635514524,56.381603377863904,0,0,-0.00011804268074039288
27,632.8756631199999,29956202.56683428,47333.47213756625,34266.0,47373.92324103389,2022-01-02T03,47274.12265035137,47474.15769430016,0.0,41.19820813376282,71.14686788872703,93.13264242428444,1.3090195701930678,56.69157538078444,0,0,-0.000870003563624735
28,1848.1487164,86698367.61751507,46910.92597050004,54201.0,47333.11484349244,2022-01-02T04,46770.76413063347,47419.865645272526,0.0,422.54616706621164,94.37701985772375,93.13264242428444,0.9868148259468751,49.66818311699378,0,0,-0.008967089968438239
29,1085.29874064,51100563.31702234,47084.329321978534,39821.0,46911.99713529954,2022-01-02T05,46836.36207851621,47091.071528706445,173.40335147849692,0.0,94.37701985772375,84.40043165945774,0.8942900696238764,47.20977446719358,0,0,0.0036896234316334095
30,830.60571703,39143024.624546,47125.87912892033,35881.0,47084.8799477786,2022-01-02T06,47016.51242113528,47244.302373221035,41.549806941795396,0.0,94.37701985772375,83.14550165396109,0.8809930826307663,46.83659343385809,0,0,0.0008820659739311221
31,738.9534933699997,34861850.69757803,47177.327139479974,34356.0,47124.52583235743,2022-01-02T07,47091.675915861015,47300.86431130488,51.4480105596449,0.0,94.37701985772375,52.72285361187096,0.5586407972126295,35.84153566438566,0,0,0.0010911191188443866
32,801.63109743,37856904.62419807,47224.84537534275,52518.0,47177.17926422339,2022-01-02T08,46974.590335098386,47249.522409128935,47.518235862778965,0.0,80.5697451227066,56.11701331635517,0.6965023065530335,41.055193609974644,0,0,0.0010067192016912983
33,1081.6454948399987,51136052.62286461,47276.16660616596,43530.0,47224.82277086885,2022-01-02T09,47149.203131438444,47498.5158169914,51.3212308232105,0.0,64.09906248768623,59.78281551801307,0.932662868969381,48.2579183335134,0,0,0.0010861520907029262
34,566.6835141400003,26742207.410051163,47190.72770386691,27667.0,47276.20874984122,2022-01-02T1,47144.778882538405,47350.358030250325,0.0,85.43890229905082,70.20184122333272,54.84326314480911,0.7812225746378438,43.858784733664244,0,0,-0.001808864919702624
