,volume,volumeNotional,close,tradesDone,open,date,low,high
0,2540.7467363700007,118543232.88851914,46656.84745024349,70764.0,46213.57762364689,2022-01-01,46206.11441377727,46734.1050172108
1,1882.7179491099998,88074687.03047007,46780.606235843676,56563.0,46656.473596841526,2022-01-01T01,46574.19451259004,46937.20518735723
2,1070.8379342199999,50124957.75011694,46809.09794872745,45961.0,46777.3857374936,2022-01-01T02,46726.99088486317,46926.6547139862
3,998.9332268000002,46760126.58432456,46810.06230428109,35119.0,46809.95380084592,2022-01-01T03,46759.71827041546,46907.645293290516
4,1674.83307295,78229286.068866,46708.706277859266,39600.0,46813.574536033426,2022-01-01T04,46604.473875009106,46881.28295812368
5,2003.076163190002,94532073.22617897,47193.44923741281,57334.0,46706.752743919795,2022-01-01T05,46672.04186674292,47554.63675183431
6,1132.2645814200002,53191203.444129966,46977.71555957495,38943.0,47191.792936651116,2022-01-01T06,46943.11140352915,47325.11508562557
7,1076.49302733,50810705.00924537,47200.217483312415,37297.0,46981.10555909238,2022-01-01T07,46883.04689479205,47254.522147957
8,805.7067266300002,37967882.36636482,47123.70036324717,34861.0,47197.31409343403,2022-01-01T08,47080.24059212061,47345.82593574912
9,726.6527795499997,34255865.63836443,47142.0004194828,35884.0,47124.651642478,2022-01-01T09,46935.70415880324,47213.99840466407
10,1380.2735380899999,64694266.956787735,46870.61308609206,45242.0,47144.53146489972,2022-01-01T1,46719.53525265575,47296.54465811944
11,1310.7107471499983,61287781.159217715,46759.19633106046,35677.0,46869.357134122256,2022-01-01T11,46551.19301344399,47004.84507967053
12,795.07152872,37431581.049261786,47079.513851443735,33541.0,46759.82141406076,2022-01-01T12,46757.19563508077,47151.75851652333
13,684.2369389300001,32176701.37738177,47025.67129406845,33812.0,47081.44544965075,2022-01-01T13,46942.172385670085,47202.31485628867
14,805.3729623199997,37794822.0451932,46928.34725456818,35837.0,47026.165854104,2022-01-01T14,46854.81133013758,47105.902058250824
15,2311.8922160899992,109176801.61168218,47224.00155675426,54250.0,46922.20604631539,2022-01-01T15,46874.3498573917,47489.591826649696
16,1875.7525169499997,88691432.06911206,47283.12038377301,51145.0,47224.973620962744,2022-01-01T16,47194.342539023324,47536.603183979
17,1853.2145977899984,88510428.86483674,47760.485466921906,62077.0,47281.4265205905,2022-01-01T17,47247.08427141865,47934.78547792313
18,1446.8233867599997,68821313.7046371,47567.183620631666,50495.0,47760.84329146016,2022-01-01T18,47430.06674443821,47846.475504406466
19,1369.25347566,64815795.94768442,47336.59406374139,44674.0,47567.39274677298,2022-01-01T19,47292.274695056316,47619.015902729465
20,1262.6312275300004,59855977.5328611,47405.74779696624,42513.0,47336.742090822576,2022-01-01T2,47256.986233547614,47566.17362006227
21,1348.9947841499995,63841962.02180937,47325.5810711204,43540.0,47402.946142559216,2022-01-01T21,47278.003859611985,47563.28509995368
22,867.7348022299998,41169875.42486188,47445.22787268533,41670.0,47325.32672180535,2022-01-01T22,47235.31937172748,47498.11740858231
23,1241.5499357399997,59256876.74763195,47728.146119481804,49831.0,47447.40297617022,2022-01-01T23,47285.42657812206,47819.46684187508
24,1667.6441133499998,79431471.37830044,47630.94879922358,49337.0,47727.36181599333,2022-01-02,47388.7126553789,47758.0732287469
25,763.9458344899997,36195954.48626531,47380.26290886089,41834.0,47631.42993960638,2022-01-02T01,47321.17723374735,47646.59190446591
26,786.8927876999999,37278786.414696395,47374.67034570001,37600.0,47381.25491845081,2022-01-02T02,47282.901501983506,47452.73272559125
27,632.8756631199999,29956202.56683428,47333.47213756625,34266.0,47373.92324103389,2022-01-02T03,47274.12265035137,47474.157694300164
28,1848.1487164,86698367.61751507,46910.92597050004,54201.0,47333.11484349244,2022-01-02T04,46770.76413063346,47419.865645272526
29,1085.29874064,51100563.31702234,47084.32932197854,39821.0,46911.99713529954,2022-01-02T05,46836.36207851621,47091.07152870645
30,830.60571703,39143024.624546,47125.879128920344,35881.0,47084.8799477786,2022-01-02T06,47016.51242113528,47244.30237322103
31,738.9534933699998,34861850.69757803,47177.327139479974,34356.0,47124.52583235743,2022-01-02T07,47091.675915861015,47300.86431130488
32,801.63109743,37856904.62419807,47224.84537534275,52518.0,47177.179264223385,2022-01-02T08,46974.59033509839,47249.522409128935
33,1081.6454948399987,51136052.62286461,47276.16660616597,43530.0,47224.82277086885,2022-01-02T09,47149.203131438444,47498.5158169914
34,566.6835141400002,26742207.410051163,47190.72770386691,27667.0,47276.20874984122,2022-01-02T1,47144.778882538405,47350.35803025032
35,464.9217877899999,21961922.789225057,47237.88681451302,26933.0,47189.85763388388,2022-01-02T11,47163.13012234905,47397.61241280951
36,1133.5095202599998,53609709.84751305,47295.33267194463,40146.0,47241.00908949439,2022-01-02T12,47018.06664888277,47450.0483415961
37,808.0914999199999,38093974.447655365,47140.66965365509,32037.0,47296.5804789177,2022-01-02T13,47091.2633517107,47304.324559623186
38,812.3653734500002,38274932.569575824,47115.41606829895,39401.0,47140.11509931186,2022-01-02T14,47021.26389462127,47203.31923938169
39,1260.0159577799996,59658997.636212654,47347.8111668719,46227.0,47116.140255163766,2022-01-02T15,47076.64618246573,47387.368032078586
40,1887.973247709999,90194238.43535055,47773.04897977282,56947.0,47348.04479174883,2022-01-02T16,47283.12197523153,47846.181563973296
41,2064.9262392699998,97890119.04781643,47406.10932544636,64226.0,47851.03873049746,2022-01-02T17,47329.202743695736,47987.64926676776
42,2680.88815122,126169801.857542,47062.6877141911,69345.0,47407.52649420241,2022-01-02T18,46659.34491347912,47408.68259340955
